cod_cust_id,Clusters_1
1,2
2,3
3,3
4,2
5,0
6,1
7,0
8,3
9,1
10,2
11,0
12,2
13,3
14,3
15,1
16,1
17,3
18,1
19,0
20,2
21,0
22,0
23,3
24,3
25,0
26,0
27,0
28,1
29,1
30,1
31,1
32,2
33,1
34,1
35,2
36,3
37,2
38,1
39,2
40,1
41,3
42,3
43,0
44,3
45,2
46,3
47,3
48,3
49,1
50,1
51,1
52,1
53,1
54,2
55,0
56,1
57,1
58,3
59,2
60,2
61,0
62,2
63,1
64,0
65,1
66,1
67,1
68,3
69,2
70,1
71,2
72,3
73,3
74,2
75,1
76,0
77,3
78,2
79,1
80,2
81,2
82,1
83,1
84,2
85,0
86,0
87,0
88,1
89,2
90,0
91,2
92,2
93,2
94,0
95,2
96,2
97,1
98,0
99,2
100,0
101,1
102,3
103,0
104,2
105,2
106,0
107,0
108,0
109,3
110,1
111,1
112,2
113,1
114,0
115,1
116,1
117,1
118,0
119,3
120,0
121,0
122,0
123,3
124,3
125,1
126,2
127,1
128,3
129,2
130,2
131,0
132,1
133,0
134,2
135,1
136,2
137,2
138,2
139,3
140,0
141,3
142,0
143,0
144,3
145,2
146,2
147,2
148,3
149,1
150,0
151,0
152,0
153,3
154,1
155,1
156,0
157,0
158,0
159,1
160,1
161,1
162,0
163,1
164,1
165,1
166,1
167,3
168,0
169,3
170,1
171,0
172,0
173,0
174,3
175,1
176,1
177,2
178,1
179,0
180,3
181,3
182,0
183,3
184,1
185,0
186,1
187,3
188,1
189,0
190,0
191,1
192,3
193,1
194,1
195,1
196,0
197,1
198,2
199,1
200,0
201,1
202,2
203,3
204,2
205,2
206,2
207,3
208,1
209,0
210,0
211,1
212,1
213,1
214,2
215,1
216,0
217,1
218,2
219,1
220,3
221,0
222,1
223,0
224,0
225,0
226,1
227,2
228,3
229,3
230,2
231,2
232,0
233,1
234,3
235,3
236,1
237,3
238,3
239,3
240,3
241,1
242,0
243,2
244,2
245,2
246,3
247,0
248,1
249,1
250,1
251,0
252,0
253,1
254,0
255,2
256,0
257,0
258,0
259,1
260,0
261,1
262,2
263,3
264,1
265,1
266,3
267,1
268,0
269,2
270,2
271,2
272,1
273,2
274,1
275,0
276,0
277,1
278,3
279,3
280,3
281,0
282,1
283,1
284,3
285,3
286,1
287,0
288,2
289,3
290,3
291,0
292,3
293,3
294,2
295,1
296,3
298,1
299,2
300,2
301,3
302,2
303,0
304,1
305,1
306,2
307,0
308,1
309,2
310,2
311,1
312,0
313,1
314,3
315,0
316,3
317,2
318,2
319,2
320,1
321,0
322,1
323,0
324,2
325,0
326,0
327,3
328,3
329,1
330,0
331,0
332,1
333,3
334,1
335,0
336,0
337,2
338,1
339,3
340,3
341,3
342,1
343,0
344,1
345,1
346,1
347,2
348,3
349,1
350,3
351,2
352,3
353,1
354,3
355,0
356,0
357,1
358,0
359,1
360,0
361,2
362,0
363,1
364,2
365,3
366,3
367,1
368,1
369,0
370,3
371,1
372,1
373,1
374,1
375,0
376,1
377,3
378,1
379,2
380,2
381,3
382,1
383,3
384,1
385,0
386,0
387,1
388,2
389,2
390,1
391,0
392,3
393,2
394,3
395,1
396,2
397,3
398,0
399,3
400,1
401,0
402,1
403,3
404,3
405,1
406,2
407,2
408,2
409,0
410,2
411,2
412,1
413,2
414,1
415,1
416,1
417,1
418,1
419,1
420,0
421,0
422,0
423,2
424,2
425,1
426,0
427,1
428,0
429,3
430,2
431,1
432,3
433,1
434,1
435,0
436,1
437,0
438,0
439,2
440,1
441,1
442,0
443,0
444,0
445,2
446,0
447,3
448,1
449,1
450,3
451,3
452,3
453,1
454,3
455,3
456,2
457,0
458,0
459,0
460,2
461,1
462,3
463,3
464,1
465,2
466,0
467,1
468,3
469,2
470,1
471,2
472,0
473,1
474,1
475,3
476,3
477,0
478,0
479,1
480,3
481,0
482,3
483,3
484,0
485,3
486,0
487,2
488,2
489,1
490,0
491,1
492,3
493,2
494,2
495,2
496,0
497,3
498,1
499,1
500,1
501,2
502,3
503,0
504,0
505,2
506,3
507,2
508,0
509,2
510,3
511,2
512,1
513,2
514,0
515,0
516,3
517,1
518,3
519,3
520,2
521,1
522,3
523,1
524,2
525,3
526,3
527,1
528,2
529,0
530,3
531,0
532,0
533,1
534,3
535,1
536,0
537,0
538,0
539,2
540,3
541,1
542,1
543,1
544,1
545,0
546,1
547,1
548,1
549,1
550,0
551,0
552,3
553,1
554,3
555,0
556,0
557,2
558,2
559,3
560,2
561,3
562,1
563,3
564,3
565,1
566,1
567,2
568,3
569,3
570,2
571,1
572,0
573,3
574,3
575,0
576,0
577,0
578,0
579,2
580,2
581,1
582,3
583,2
584,0
585,3
586,2
587,3
588,0
589,3
590,2
591,2
592,2
593,2
594,0
595,1
596,2
597,1
598,2
599,2
600,0
601,2
602,0
603,1
604,0
605,1
606,2
607,0
608,1
609,1
610,0
611,0
612,1
613,2
614,1
615,1
616,2
617,3
618,2
619,3
621,1
622,1
623,1
624,2
625,0
626,0
627,0
628,1
629,1
630,1
631,0
632,3
633,0
634,3
635,1
636,3
637,3
638,3
639,2
640,1
641,1
642,0
643,0
644,0
645,3
646,2
647,0
648,0
649,3
650,0
651,3
652,3
653,0
654,2
655,1
656,1
657,3
658,3
659,1
660,3
661,1
662,0
663,0
664,1
665,0
666,3
667,0
668,2
669,3
670,1
671,0
672,1
673,2
674,3
675,0
676,2
677,0
678,0
679,1
680,2
681,2
682,2
683,0
684,3
685,3
686,3
687,0
688,3
689,3
690,3
691,1
692,3
693,1
694,3
695,2
696,0
697,3
698,2
699,3
700,2
701,3
702,1
703,2
704,1
705,3
706,3
707,1
708,2
709,0
710,3
711,2
712,3
713,3
714,1
715,1
716,1
717,2
718,2
719,2
720,3
721,0
722,1
723,0
724,2
725,3
726,2
727,2
728,2
729,1
730,3
731,0
732,0
733,0
734,3
735,0
736,2
737,1
738,1
739,2
740,1
741,0
742,1
743,3
744,1
745,1
746,2
747,0
748,0
749,1
750,3
751,0
752,3
753,1
754,1
755,0
756,3
757,0
758,2
759,0
760,3
761,3
762,3
763,3
764,3
765,3
766,1
767,2
768,1
769,3
770,3
771,0
772,3
774,1
775,1
776,0
777,3
778,2
779,0
780,0
781,2
782,0
783,1
784,2
785,1
786,1
787,2
788,1
789,2
790,0
791,2
792,1
793,3
794,1
795,2
796,0
797,3
798,3
799,2
800,3
801,1
802,2
803,2
804,2
805,1
806,0
807,3
808,0
809,2
810,2
811,0
812,1
813,2
814,3
815,0
816,2
817,3
818,0
819,3
820,1
821,0
822,0
823,0
824,2
825,1
826,3
827,1
828,2
829,3
830,1
831,0
832,2
833,1
834,3
835,2
836,0
837,3
838,0
839,2
840,1
841,1
842,0
843,1
844,2
845,0
846,2
847,2
848,1
849,3
850,1
851,0
852,0
853,1
854,1
855,2
856,1
857,1
858,0
859,0
860,1
861,2
862,1
863,3
864,3
865,0
866,3
867,0
868,0
869,2
870,3
871,2
872,0
873,3
874,1
875,0
876,0
877,3
878,1
879,2
880,1
881,0
882,0
883,2
884,0
885,3
886,1
887,0
888,2
889,3
890,3
891,3
892,1
893,3
894,1
895,0
896,3
897,0
898,0
899,0
900,0
901,0
902,2
903,2
904,3
905,1
906,0
907,0
908,0
909,2
910,1
911,3
912,1
913,0
914,2
915,3
916,3
917,1
918,2
919,2
920,1
921,2
922,1
923,0
924,1
925,3
926,0
927,3
928,1
929,1
930,2
931,1
932,3
933,2
934,0
935,2
936,1
937,1
938,0
939,3
940,0
941,1
942,1
943,1
944,1
945,3
946,1
947,0
948,2
