Customer Identity,First Policy´s Year,Customer Age,Educational Degree,Gross Monthly Salary,Geographic Living Area,Has Children (Y=1),Customer Monetary Value,Claims Rate,Premiums in LOB: Motor,Premiums in LOB: Household,Premiums in LOB: Health,Premiums in LOB:  Life,Premiums in LOB: Work Compensations
1,1985,34,2 - High School,4354,1,1,380.97,0.39,375.85,79.45,146.36,47.01,16.89
2,1981,21,2 - High School,1353,4,1,-131.13,1.12,77.46,416.20,116.69,194.48,106.13
3,1991,46,1 - Basic,4554,3,0,504.67,0.28,206.15,224.50,124.58,86.35,99.02
4,1990,35,3 - BSc/MSc,2197,4,1,-16.99,0.99,182.48,43.35,311.17,35.34,28.34
5,1986,43,3 - BSc/MSc,3526,4,1,35.23,0.90,338.62,47.80,182.59,18.78,41.45
6,1986,60,2 - High School,5132,4,1,-24.33,1.00,440.75,18.90,114.80,7.00,7.67
7,1979,73,2 - High School,8205,4,0,-66.01,1.05,156.92,295.60,317.95,14.67,26.34
8,1988,42,2 - High School,3485,4,1,-144.91,1.13,248.27,397.30,144.36,66.68,53.23
9,1981,38,3 - BSc/MSc,3723,1,1,356.53,0.36,344.51,18.35,210.04,8.78,9.89
10,1976,68,3 - BSc/MSc,7684,1,0,-119.35,1.12,209.26,182.25,271.94,39.23,55.12
11,1990,71,3 - BSc/MSc,7990,4,0,290.17,0.53,296.50,116.70,227.71,18.67,10.89
12,1985,58,3 - BSc/MSc,5667,3,1,405.74,0.46,249.49,216.70,252.38,36.34,35.45
13,1981,67,3 - BSc/MSc,7513,1,0,2.34,0.97,206.04,340.05,257.05,43.12,15.78
14,1983,16,1 - Basic,2086,3,1,-75.12,1.06,44.34,342.85,127.69,267.94,94.46
15,1983,41,2 - High School,3961,1,1,-89.00,1.12,504.43,-70.00,72.79,10.89,16.89
16,1988,37,3 - BSc/MSc,1947,4,1,290.06,0.53,318.06,93.90,247.49,-3.00,19.67
17,1991,27,2 - High School,4873,1,1,100.58,0.89,119.80,647.35,168.92,125.58,37.23
18,1981,46,3 - BSc/MSc,5456,4,1,78.91,0.85,446.64,107.80,86.35,3.89,27.56
19,1981,34,1 - Basic,2827,3,1,230.38,0.71,313.17,373.40,121.80,14.78,72.57
20,1988,54,4 - PhD,5501,1,1,352.96,0.36,402.41,9.45,125.69,24.45,30.56
21,1986,30,4 - PhD,3408,4,1,373.73,0.39,329.84,65.00,221.93,3.89,33.34
22,1977,58,2 - High School,,3,1,111.37,0.80,407.52,111.70,100.13,24.67,30.34
23,1976,30,2 - High School,2989,1,1,-89.79,1.08,209.04,308.95,192.48,64.79,54.90
24,1998,55,2 - High School,5740,4,1,290.05,0.64,222.04,329.50,248.38,48.01,33.56
25,1988,64,3 - BSc/MSc,6401,4,0,108.13,0.81,420.30,128.35,135.58,15.67,4.78
26,1974,72,4 - PhD,7551,2,0,376.30,0.41,383.74,103.90,154.14,17.56,15.78
27,1978,79,4 - PhD,8562,3,0,430.86,0.38,330.84,162.80,228.82,-5.00,22.78
28,1979,74,4 - PhD,7238,1,0,-7.22,0.97,449.75,58.90,112.91,17.78,9.78
29,1995,64,3 - BSc/MSc,7277,4,0,264.17,0.50,301.28,18.90,258.05,-4.00,-0.11
30,1980,44,3 - BSc/MSc,5320,3,0,2.00,0.96,524.21,25.00,54.90,7.00,-5.00
31,1988,41,2 - High School,4295,4,1,427.76,0.19,483.09,-15.00,92.24,3.89,-5.11
32,1984,63,2 - High School,6979,4,0,240.16,0.69,320.95,335.05,146.25,46.12,9.67
33,1989,46,3 - BSc/MSc,4252,4,1,-2.44,0.96,473.09,19.45,89.24,4.78,7.89
34,1987,37,2 - High School,3202,1,1,-5.55,0.97,373.96,19.45,179.70,22.56,10.89
35,1979,71,3 - BSc/MSc,7323,3,0,336.07,0.48,320.84,123.35,131.58,40.23,72.68
36,1990,50,2 - High School,4840,3,0,53.80,0.89,241.49,190.60,125.80,111.80,65.79
37,1982,44,2 - High School,4802,4,1,7.24,0.94,320.95,-25.55,145.25,26.56,84.35
38,1976,61,2 - High School,6685,1,0,-31.78,1.01,495.87,68.90,68.57,3.00,9.78
39,1985,75,2 - High School,7969,3,0,-14.22,0.98,104.02,142.80,357.18,53.01,40.23
40,1980,78,3 - BSc/MSc,7716,1,0,-1.55,0.96,334.84,63.35,207.04,17.67,5.78
41,1994,21,2 - High School,2353,4,1,121.36,0.84,52.01,455.65,135.47,146.36,148.03
42,1988,61,3 - BSc/MSc,6511,1,1,402.63,0.47,265.05,270.60,130.47,108.02,25.34
43,1994,48,2 - High School,4231,4,1,710.80,0.19,323.84,383.40,168.92,3.00,25.56
44,1994,34,2 - High School,2706,2,1,-77.01,1.07,159.14,249.50,284.61,52.01,23.34
45,1985,26,3 - BSc/MSc,2129,1,1,-128.68,1.19,111.80,-35.00,208.26,224.71,44.23
46,1991,32,3 - BSc/MSc,3874,3,1,624.34,0.38,139.58,540.10,180.59,106.13,75.79
47,1976,30,3 - BSc/MSc,2438,4,1,-94.90,1.08,269.94,300.60,143.25,59.79,69.90
48,1977,78,2 - High School,8465,3,0,279.28,0.63,254.38,265.60,209.04,72.68,22.78
49,1985,42,3 - BSc/MSc,4761,3,1,-132.88,1.20,468.09,-45.55,92.24,1.89,14.89
50,1986,38,2 - High School,5319,1,1,-21.11,0.99,396.74,18.90,166.92,16.78,3.89
51,1983,37,3 - BSc/MSc,3137,4,1,420.64,0.32,435.75,102.25,105.02,4.78,9.89
52,1982,50,3 - BSc/MSc,6467,4,1,-14714.08,25.36,557.44,20.00,29.56,5.00,-9.00
53,1986,32,3 - BSc/MSc,3920,3,1,-104.21,1.14,360.40,-40.55,212.04,12.78,10.89
54,1983,36,2 - High School,2295,1,1,-11.33,0.98,177.59,236.70,295.61,44.12,30.45
55,1993,70,3 - BSc/MSc,6881,3,0,264.50,0.59,305.17,157.25,227.60,12.89,2.78
56,1995,50,3 - BSc/MSc,5770,2,1,-15.22,0.98,559.66,44.45,17.56,-1.11,10.89
57,1995,51,3 - BSc/MSc,4467,4,1,540.55,0.13,569.55,30.00,36.45,6.00,10.00
58,1992,67,2 - High School,7076,4,0,294.94,0.66,207.93,452.30,155.25,69.68,62.68
59,1978,60,2 - High School,5839,2,1,448.98,0.41,286.61,260.05,168.92,72.68,16.78
60,1997,32,2 - High School,4389,3,1,120.48,0.81,341.73,249.50,84.35,52.90,51.12
61,1983,73,3 - BSc/MSc,8217,4,1,226.93,0.68,278.83,246.15,217.82,30.34,5.78
62,1993,38,2 - High School,3646,1,1,224.50,0.68,304.17,249.50,165.81,36.34,15.78
63,1981,59,3 - BSc/MSc,7524,3,1,-67.32,1.08,464.20,-25.55,89.24,3.89,8.78
64,1987,49,2 - High School,6518,4,1,314.51,0.61,364.18,343.95,86.46,23.45,48.12
65,1982,43,3 - BSc/MSc,4587,3,0,-124.32,1.19,452.53,-45.55,104.91,17.78,-4.11
66,1998,75,3 - BSc/MSc,7520,1,0,132.27,0.78,276.83,175.60,261.27,6.89,-6.11
67,1984,48,3 - BSc/MSc,5087,3,1,-25.00,1.00,366.07,78.35,165.81,16.56,7.89
68,1989,32,2 - High School,3731,1,1,-90.01,1.06,152.03,530.65,202.26,32.34,97.35
69,1983,39,2 - High School,2798,4,1,476.65,0.33,330.73,186.70,211.15,,15.78
70,1989,32,3 - BSc/MSc,4238,4,1,316.98,0.36,384.63,-40.55,151.03,20.56,17.89
71,1994,64,2 - High School,6763,2,0,83.90,0.84,183.48,108.90,252.38,65.68,79.68
72,1985,27,3 - BSc/MSc,2318,4,1,195.82,0.72,150.03,236.70,286.61,70.79,33.23
73,1990,65,3 - BSc/MSc,6411,4,1,-25.00,1.00,213.15,217.25,242.60,56.90,59.90
74,1993,60,2 - High School,4672,1,1,272.61,0.63,246.49,264.50,223.71,51.12,20.78
75,1985,36,2 - High School,2880,1,1,-25.00,1.00,436.75,65.00,140.47,12.89,0.89
76,1996,60,3 - BSc/MSc,5867,4,1,234.83,0.66,289.50,211.70,217.82,22.67,29.67
77,1996,67,3 - BSc/MSc,8391,4,0,747.03,0.20,183.48,471.75,190.37,43.12,73.68
78,1984,54,2 - High School,6568,4,1,74.45,0.85,290.61,99.45,180.59,51.90,50.01
79,1978,65,4 - PhD,6181,3,1,-50.31,1.04,429.86,-6.10,141.47,6.89,-3.11
80,1978,68,3 - BSc/MSc,7801,4,0,352.96,0.42,342.73,83.35,150.25,48.12,30.23
81,1980,55,1 - Basic,4635,4,1,14.34,0.95,355.51,304.50,136.58,39.34,21.67
82,1986,34,2 - High School,2861,3,1,274.19,0.46,368.07,-25.55,163.81,29.56,17.78
83,1992,54,2 - High School,6467,2,1,308.31,0.35,463.31,-65.00,104.02,0.89,5.78
84,1995,31,3 - BSc/MSc,3583,1,1,423.53,0.33,291.39,132.25,209.93,30.56,5.67
85,1997,57,2 - High School,5311,3,1,-47.67,1.03,238.49,221.70,244.49,22.67,64.01
86,1976,48,3 - BSc/MSc,4957,3,0,317.83,0.61,399.63,344.50,114.91,7.00,8.67
87,1994,28,3 - BSc/MSc,3261,4,1,-19.22,0.99,326.06,307.85,166.81,7.89,5.78
88,1997,46,3 - BSc/MSc,4845,2,1,-46.00,1.03,581.33,55.00,17.67,-6.00,-1.00
89,1995,33,3 - BSc/MSc,3558,3,1,-139.11,1.21,193.26,-30.55,291.50,65.68,12.67
90,1989,73,3 - BSc/MSc,7720,4,0,-54.56,1.05,216.93,48.35,315.95,12.78,16.78
91,1991,32,3 - BSc/MSc,2832,3,1,402.18,0.40,282.61,163.35,214.04,38.23,19.45
92,1993,77,1 - Basic,7805,3,0,238.94,0.64,263.94,196.15,221.93,31.34,29.56
93,1987,63,3 - BSc/MSc,5951,1,1,-66.12,1.06,324.84,83.35,159.92,32.45,41.12
94,1982,37,3 - BSc/MSc,3971,4,1,400.86,0.44,393.63,192.80,136.47,11.67,20.56
95,1992,32,4 - PhD,2540,2,1,174.37,0.71,230.82,126.70,263.05,31.45,25.34
96,1976,30,3 - BSc/MSc,5336,4,1,-25.00,1.00,296.50,70.00,200.15,60.79,8.67
97,1992,52,3 - BSc/MSc,5661,4,1,-91.00,1.12,520.10,-20.00,45.01,-1.00,-8.00
98,1996,78,2 - High School,7847,4,0,120.47,0.81,169.81,244.50,224.82,26.56,118.91
99,1988,66,1 - Basic,7740,1,1,179.26,0.68,204.26,82.80,110.02,185.48,59.68
100,1984,49,2 - High School,5609,1,1,14.23,0.94,427.08,142.80,104.13,1.89,37.34
101,1977,56,2 - High School,5487,4,1,-55.56,1.05,424.97,69.45,133.47,23.67,6.89
102,1981,60,1 - Basic,5387,3,1,654.90,0.39,62.68,648.45,210.15,31.45,156.03
103,1981,36,2 - High School,4141,4,1,-25.00,1.00,190.59,317.85,188.37,6.89,118.58
104,1975,64,3 - BSc/MSc,6388,2,0,257.84,0.53,234.49,48.35,219.82,67.68,28.45
105,1996,37,2 - High School,4683,1,1,46.12,0.89,349.40,73.90,170.92,37.23,2.78
106,1986,28,3 - BSc/MSc,4037,4,1,-2.65,0.97,89.24,82.25,408.41,19.56,40.34
107,1979,68,3 - BSc/MSc,6960,3,0,201.82,0.71,297.61,240.60,218.82,13.78,14.67
108,1989,58,2 - High School,7346,3,1,133.81,0.77,292.61,108.35,117.91,12.67,146.14
109,1991,21,1 - Basic,1528,4,1,71.24,0.93,79.68,912.95,97.24,213.04,16.56
110,1980,40,2 - High School,4251,3,1,317.29,0.54,368.29,158.35,189.37,22.67,-1.11
111,1990,50,3 - BSc/MSc,4077,4,1,385.66,0.25,482.09,-35.55,99.13,1.00,-0.11
112,1991,66,3 - BSc/MSc,7013,3,0,343.52,0.43,330.95,72.80,108.91,35.23,99.35
113,1997,37,4 - PhD,4707,1,1,-8719.04,15.65,518.32,4.45,55.90,3.89,10.89
114,1993,45,3 - BSc/MSc,4514,3,1,231.49,0.66,285.83,182.25,231.82,29.34,29.56
115,1992,43,3 - BSc/MSc,4117,4,1,344.30,0.49,405.30,187.25,136.58,9.78,-12.00
116,1988,41,2 - High School,3667,3,1,330.51,0.48,359.29,127.25,187.59,2.89,0.89
117,1994,50,3 - BSc/MSc,5368,1,1,498.54,0.14,506.54,10.00,71.68,7.89,14.89
118,1979,62,2 - High School,6256,4,1,283.95,0.61,279.61,251.70,178.70,29.34,60.90
119,1978,56,2 - High School,4361,3,1,525.88,0.41,142.47,437.30,246.49,43.12,70.46
120,1986,68,3 - BSc/MSc,7300,3,0,305.05,0.62,324.95,330.05,159.14,31.34,26.56
121,1989,32,2 - High School,2887,1,1,422.18,0.56,311.17,511.75,109.02,8.89,64.57
122,1997,60,3 - BSc/MSc,4804,4,1,290.17,0.57,273.94,181.70,199.15,29.45,41.23
123,1997,27,1 - Basic,3036,1,1,643.24,0.18,286.50,294.50,78.57,87.24,68.68
124,1991,57,1 - Basic,5914,1,1,68.35,0.89,230.71,343.95,152.03,93.35,36.23
125,1980,47,3 - BSc/MSc,5228,1,1,319.31,0.35,442.64,-50.00,130.69,11.89,-5.11
126,1991,26,2 - High School,2823,1,1,180.04,0.64,240.38,3.90,227.82,66.68,35.34
127,1977,49,2 - High School,3705,4,1,-21.00,0.99,478.09,108.90,94.35,9.89,13.89
128,1978,64,2 - High School,6961,3,0,-19.11,1.00,132.58,750.15,168.70,71.79,65.90
129,1982,70,3 - BSc/MSc,7941,1,0,23.80,0.91,202.04,-55.00,173.81,98.24,106.02
130,1979,63,4 - PhD,6543,1,1,93.25,0.82,437.75,87.80,83.46,37.34,6.89
131,1989,39,2 - High School,3230,4,1,317.06,0.49,219.04,113.35,311.06,10.78,20.45
132,1997,48,2 - High School,4656,2,1,518.10,0.12,489.87,44.45,74.57,5.00,3.78
133,1994,34,3 - BSc/MSc,2845,4,1,-67.23,1.06,167.92,171.70,347.51,21.56,20.67
134,1978,73,3 - BSc/MSc,7153,2,0,100.79,0.82,243.27,138.35,237.71,35.34,47.90
135,1976,39,4 - PhD,3620,2,1,543.21,0.14,490.98,79.45,86.35,-1.11,3.89
136,1997,28,3 - BSc/MSc,4352,4,1,-10198.91,14.80,297.61,162.80,143.36,136.47,-3.00
137,1988,44,3 - BSc/MSc,5032,4,0,241.72,0.65,232.49,225.60,256.27,41.12,5.89
138,1994,63,2 - High School,7597,4,0,456.76,0.31,354.51,127.25,105.13,104.02,9.89
139,1979,40,2 - High School,5075,2,1,149.59,0.69,194.26,305.60,,37.34,17.67
140,1978,59,2 - High School,6442,1,1,649.67,0.25,320.17,349.50,193.48,30.45,5.00
141,1987,57,2 - High School,5529,1,1,511.42,0.41,285.83,364.50,149.36,73.57,40.34
142,1997,65,4 - PhD,6193,1,0,-12.11,0.98,391.63,152.25,131.47,18.67,5.78
143,1984,30,4 - PhD,2532,2,1,210.71,0.66,213.04,138.35,287.50,19.56,42.23
144,1996,26,3 - BSc/MSc,,4,1,-42.45,1.02,146.36,353.95,220.04,121.80,42.01
145,1996,36,2 - High School,3614,4,1,-44.78,1.03,345.73,18.90,180.48,35.34,19.78
146,1983,30,1 - Basic,5107,1,1,-96.11,1.12,144.36,-11.10,381.85,47.23,12.78
147,1992,33,3 - BSc/MSc,4683,4,1,72.80,0.85,272.72,97.80,177.70,48.12,57.79
148,1979,62,2 - High School,5901,3,1,374.41,0.43,116.69,123.90,173.81,131.47,151.25
149,1982,50,3 - BSc/MSc,5297,3,1,521.99,0.09,522.10,15.00,44.12,9.89,7.89
150,1989,22,1 - Basic,1968,4,1,255.71,0.63,64.90,197.25,29.56,18.56,451.53
151,1993,68,2 - High School,7371,4,0,463.54,0.47,264.94,426.75,167.81,30.45,31.34
152,1977,32,2 - High School,2291,3,1,433.97,0.48,165.03,358.95,241.38,6.89,106.91
153,1981,27,2 - High School,3506,4,0,10.34,0.97,125.80,785.70,79.57,136.47,101.13
154,1990,35,3 - BSc/MSc,3367,3,1,-40.55,1.03,423.08,-15.55,129.47,8.78,11.78
155,1997,49,3 - BSc/MSc,4666,2,0,477.21,0.12,512.32,-10.00,58.90,3.89,4.00
156,1986,24,3 - BSc/MSc,2708,3,0,589.33,0.43,100.13,614.55,321.84,-0.11,48.23
157,1984,67,2 - High School,7649,4,0,130.04,0.78,321.95,175.60,189.59,20.56,3.78
158,1988,34,3 - BSc/MSc,2361,3,1,343.07,0.44,395.52,93.35,135.36,12.78,14.67
159,1976,58,3 - BSc/MSc,6087,2,1,413.31,0.22,484.98,-35.00,71.79,26.56,11.67
160,1996,42,3 - BSc/MSc,4468,2,1,-52.00,1.05,497.76,-15.00,91.35,7.89,-12.00
161,1983,44,3 - BSc/MSc,6163,4,1,509.11,0.06,551.66,-15.55,28.45,7.00,-3.00
162,1975,39,3 - BSc/MSc,4570,1,0,471.21,0.25,349.40,87.80,142.47,9.78,68.79
163,1984,40,3 - BSc/MSc,3304,1,1,423.64,0.30,429.97,63.35,124.69,18.67,1.89
164,1991,43,2 - High School,4823,4,1,103.02,0.81,416.08,128.35,127.47,7.89,-4.11
165,1997,31,3 - BSc/MSc,2804,2,1,269.61,0.51,282.72,38.35,249.38,18.56,6.67
166,1981,42,3 - BSc/MSc,4309,4,0,446.08,0.26,429.97,64.45,117.80,12.67,10.67
