cod_cust_id,dt_fpy,atr_cust_age,dsc_edu_deg,amt_gms,atr_gla,flg_children,amt_cmv,rt_cr,amt_plob_motor,amt_plob_household,amt_plob_health,amt_plob_life,amt_plob_wcomp,Set,amt_premium_total,outlier_candidate,atr_edu_deg,atr_fpy_to_date,rt_plob_life,rt_plob_household,rt_plob_motor,rt_plob_health,rt_plob_wcomp,amt_gys,amt_claims_total,rt_premiums_year,rt_claims_year,atr_credit_score_proxy
1,1985,34,2 - High School,4354.0,1,1,380.97,0.39003245387343,375.85,79.45,146.36,47.01,16.89,train,665.5600000000001,,2.0,14,0.07063224953422681,0.11937315944467816,0.5647124226215517,0.21990504237033476,0.025377126029208486,52248.0,259.5900000000001,0.012738478027867097,0.004968419843821775,0
2,1981,21,2 - High School,1353.0,4,1,-131.13,1.11650346886801,77.46,416.2,116.69,194.48,106.13,test,910.96,amt_plob_life,2.0,18,0.2134890664793185,0.45688065337665756,0.08503117590234477,0.12809563537367172,0.11650346886800737,16236.0,1017.0900000000024,0.056107415619610745,0.06264412416851456,0
3,1991,46,1 - Basic,4554.0,3,0,504.67,0.284809613826627,206.15,224.5,124.58,86.35,99.02,test,740.6,,1.0,8,0.11659465298406696,0.30313259519308666,0.2783553875236295,0.16821496084256007,0.13370240345665677,54648.0,210.92999999999998,0.013552188552188553,0.0038597935880544574,0
4,1990,35,3 - BSc/MSc,2197.0,4,1,-16.9899999999999,0.986665112872078,182.48,43.35,311.17,35.34,28.34,train,600.68,,3.0,9,0.05883332223480057,0.07216820936272225,0.30378903908903243,0.5180295664913099,0.04717986282213492,26364.0,592.6699999999997,0.022784099529661657,0.022480276134122276,0
5,1986,43,3 - BSc/MSc,3526.0,4,1,35.23,0.904281355285741,338.62,47.8,182.59,18.78,41.45,train,629.24,,3.0,13,0.02984552793846545,0.0759646557752209,0.5381412497616171,0.2901754497489034,0.06587311677579302,42312.0,569.0099999999998,0.01487143127245226,0.013447958026091883,0
6,1986,60,2 - High School,5132.0,4,1,-24.33,0.998862710483433,440.75,18.9,114.8,7.0,7.67,train,589.1199999999999,,2.0,13,0.011882129277566543,0.03208174904942966,0.748149782726779,0.19486692015209128,0.013019418794133625,61584.0,588.4499999999999,0.009566121070407897,0.00955524162120031,0
7,1979,73,2 - High School,8205.0,4,0,-66.01,1.05053728989008,156.92,295.6,317.95,14.67,26.34,train,811.4800000000001,,2.0,20,0.01807807955833785,0.36427268694237686,0.19337506777739435,0.39181495539015126,0.032459210331739534,98460.0,852.4900000000023,0.008241722526914484,0.008658236847450764,0
8,1988,42,2 - High School,3485.0,4,1,-144.91,1.13179240305988,248.27,397.3,144.36,66.68,53.23,test,909.84,,2.0,11,0.07328761100852897,0.4366701837685747,0.2728721533456432,0.15866525982590346,0.05850479205134968,41820.0,1029.7500000000014,0.02175609756097561,0.024623385939741782,0
9,1981,38,3 - BSc/MSc,3723.0,1,1,356.53,0.355055192115895,344.51,18.35,210.04,8.78,9.89,train,591.5699999999999,,3.0,18,0.0148418614872289,0.03101915242490323,0.5823655695860169,0.35505519211589504,0.016718224385956017,44676.0,210.03999999999996,0.013241337630942786,0.00470140567642582,0
10,1976,68,3 - BSc/MSc,7684.0,1,0,-119.35,1.12450514647664,209.26,182.25,271.94,39.23,55.12,test,757.8000000000001,,3.0,23,0.051768276590129315,0.2404988123515439,0.2761414621272103,0.3588545790446028,0.07273686988651358,92208.0,852.1499999999979,0.008218375845913587,0.00924160593440914,0
11,1990,71,3 - BSc/MSc,7990.0,4,0,290.17,0.52992676778976,296.5,116.7,227.71,18.67,10.89,train,670.47,,3.0,9,0.02784613778394261,0.17405700478768624,0.44222709442629793,0.3396274255373096,0.016242337464763525,95880.0,355.3000000000004,0.0069928035043804754,0.0037056737588652524,0
12,1985,58,3 - BSc/MSc,5667.0,3,1,405.74,0.455007844526545,249.49,216.7,252.38,36.34,35.45,test,790.36,,3.0,14,0.04597904752264791,0.2741788552052229,0.3156662786578268,0.3193228402247077,0.044852978389594615,68004.0,359.6200000000001,0.011622257514263866,0.005288218340097643,0
13,1981,67,3 - BSc/MSc,7513.0,1,0,2.34000000000003,0.968284534360354,206.04,340.05,257.05,43.12,15.78,test,862.04,,3.0,18,0.05002088070159157,0.3944712542341423,0.23901443088487773,0.29818801911744236,0.018305415061946082,90156.0,834.6999999999995,0.00956164869781268,0.009258396557078835,0
14,1983,16,1 - Basic,2086.0,3,1,-75.1199999999999,1.05713113259165,44.34,342.85,127.69,267.94,94.46,train,877.28,amt_plob_life,1.0,16,0.30542130220682107,0.3908102316250228,0.050542586175451404,0.1455521612256064,0.1076737187670983,25032.0,927.4000000000026,0.03504634068392458,0.037048577820390005,0
15,1983,41,2 - High School,3961.0,1,1,-89.0,1.1196261682243,504.43,-70.0,72.79,10.89,16.89,train,535.0,,2.0,16,0.02035514018691589,-0.1308411214953271,0.9428598130841122,0.13605607476635515,0.031570093457943926,47532.0,599.0000000000006,0.01125557519144997,0.012602036522763625,0
